#id  northing easting
4000 6107428 462626
4001 6107426 464128
4002 6107428 465627
4003 6107428 467126
4004 6107426 468628
4005 6107428 470128
4006 6107426 471626
4007 6107426 473128
4008 6107426 474628
4009 6107428 476126
4010 6107426 477628
4011 6107428 479128
4012 6107428 480626
4013 6107426 482128
4014 6107427 483628
4015 6107426 485126
4016 6107426 486628
4017 6107426 488128
4018 6107428 489626
4019 6107426 491128
4020 6107428 492628
4021 6107428 494126
4022 6107426 495628
4023 6107428 497128
4024 6107426 498626
4025 6107426 500128
4026 6107426 501628
4027 6107428 503126
4028 6107426 504628
4029 6107426 506128
4030 6108725 443878
4031 6108727 445378
4032 6108727 446878
4033 6108725 448378
4034 6108734 449879
4035 6108725 451378
4036 6108727 452878
4037 6108725 454378
4038 6108726 455878
4039 6108727 457378
4040 6108727 458878
4041 6108727 460378
4042 6108727 461878
4043 6108725 463378
4044 6108727 464878
4045 6108727 466378
4046 6108727 467877
4047 6108725 469376
4048 6108727 470876
4049 6108726 472376
4050 6108726 473876
4051 6108727 475376
4052 6108725 476878
4053 6108727 478378
4054 6108727 479878
4055 6108727 481378
4056 6108725 482878
4057 6108727 484378
4058 6108726 485877
4059 6108726 487376
4060 6108727 488876
4061 6108725 490376
4062 6108727 491876
4063 6108727 493378
4064 6108727 494878
4065 6108725 496378
4066 6108727 497878
4067 6108727 499378
4068 6108727 500876
4069 6108727 502376
4070 6108725 503876
4071 6108727 505376
4072 6108727 506878
4073 6110025 444628
4074 6110024 446128
4075 6110025 447626
4076 6110024 449128
4077 6110024 450628
4078 6110026 452128
4079 6110026 453626
4080 6110026 455126
4081 6110025 456627
4082 6110024 458128
4083 6110026 459628
4084 6110026 461126
4085 6110025 462626
4086 6110026 464127
4087 6110026 465628
4088 6110026 467128
4089 6110026 468628
4090 6110024 470126
4091 6110026 471626
4092 6110026 473127
4093 6110026 474628
4094 6110024 476128
4095 6110026 477628
4096 6110025 479126
4097 6110025 480626
4098 6110026 482126
4099 6110024 483628
4100 6110026 485128
4101 6110026 486628
4102 6110026 488128
4103 6110024 489626
4104 6110026 491126
4105 6110026 492626
4106 6110026 494127
4107 6110026 495628
4108 6110025 497128
4109 6110026 498628
4110 6110026 500128
4111 6110026 501626
4112 6110025 503126
4113 6110026 504626
4114 6110026 506127
4115 6110026 507628
4116 6111324 445378
4117 6111324 446876
4118 6111325 448378
4119 6111323 449878
4120 6111325 451378
4121 6111325 452876
4122 6111325 454377
4123 6111325 455878
4124 6111324 457376
4125 6111324 458878
4126 6111324 460376
4127 6111324 461878
4128 6111325 463376
4129 6111324 464878
4130 6111324 466378
4131 6111324 467876
4132 6111325 469378
4133 6111324 470876
4134 6111323 472378
4135 6111323 473878
4136 6111324 475376
4137 6111325 476878
4138 6111324 478376
4139 6111324 479877
4140 6111324 481378
4141 6111325 482876
4142 6111324 484378
4143 6111323 485878
4144 6111323 487376
4145 6111324 488878
4146 6111325 490376
4147 6111324 491877
4148 6111324 493378
4149 6111324 494876
4150 6111325 496378
4151 6111324 497878
4152 6111323 499376
4153 6111324 500878
4154 6111324 502376
4155 6111325 503876
4156 6111325 505378
4157 6111325 506876
4158 6111325 508378
4159 6112624 446128
4160 6112624 447628
4161 6112623 449128
4162 6112624 450626
4163 6112623 452128
4164 6112623 453627
4165 6112624 455126
4166 6112624 456628
4167 6112624 458128
4168 6112624 459626
4169 6112624 461128
4170 6112624 462628
4171 6112623 464126
4172 6112623 465628
4173 6112623 467127
4174 6112623 468626
4175 6112624 470128
4176 6112624 471626
4177 6112623 473126
4178 6112623 474628
4179 6112624 476126
4180 6112623 477628
4181 6112622 479128
4182 6112622 480626
4183 6112623 482128
4184 6112624 483626
4185 6112623 485128
4186 6112623 486628
4187 6112624 488126
4188 6112624 489628
4189 6112623 491126
4190 6112623 492628
4191 6112623 494128
4192 6112623 495626
4193 6112624 497128
4194 6112624 498627
4195 6112623 500126
4196 6112624 501628
4197 6112624 503126
4198 6112624 504628
4199 6112623 506127
4200 6112623 507626
4201 6113921 446877
4202 6113922 448377
4203 6113924 449878
4204 6113922 451376
4205 6113922 452876
4206 6113922 454376
4207 6113923 455876
4208 6113921 457378
4209 6113923 458878
4210 6113923 460378
4211 6113921 461878
4212 6113922 463378
4213 6113921 464877
4214 6113923 466376
4215 6113921 467876
4216 6113922 469376
4217 6113923 470878
4218 6113923 472378
4219 6113923 473878
4220 6113923 475378
4221 6113922 476877
4222 6113921 478376
4223 6113923 479876
4224 6113921 481376
4225 6113922 482878
4226 6113923 484378
4227 6113923 485878
4228 6113923 487376
4229 6113923 488876
4230 6113922 490376
4231 6113921 491878
4232 6113921 493378
4233 6113922 494878
4234 6113922 496377
4235 6113921 497876
4236 6113923 499376
4237 6113923 500878
4238 6113921 502378
4239 6113923 503878
4240 6113922 505377
4241 6113922 506876
4242 6113922 508376
4243 6115221 447626
4244 6115223 449128
4245 6115221 450628
4246 6115222 452128
4247 6115222 453628
4248 6115221 455126
4249 6115222 456626
4250 6115221 458126
4251 6115221 459627
4252 6115221 461128
4253 6115222 462628
4254 6115220 464128
4255 6115222 465626
4256 6115222 467126
4257 6115220 468626
4258 6115221 470126
4259 6115221 471627
4260 6115220 473128
4261 6115221 474628
4262 6115221 476128
4263 6115220 477628
4264 6115222 479128
4265 6115222 480626
4266 6115220 482126
4267 6115221 483626
4268 6115221 485126
4269 6115220 486626
4270 6115221 488127
4271 6115222 489628
4272 6115223 491128
4273 6115222 492628
4274 6115222 494128
4275 6115221 495628
4276 6115222 497128
4277 6115221 498628
4278 6115221 500126
4279 6115221 501626
4280 6115222 503126
4281 6115221 504626
4282 6115220 506126
4283 6115220 507627
4284 6116521 446878
4285 6116521 448376
4286 6116524 449879
4287 6116521 451376
4288 6116521 452877
4289 6116521 454378
4290 6116520 455876
4291 6116521 457378
4292 6116520 458878
4293 6116520 460376
4294 6116521 461878
4295 6116520 463376
4296 6116521 464877
4297 6116521 466378
4298 6116521 467876
4299 6116522 469377
4300 6116521 470878
4301 6116520 472376
4302 6116520 473878
4303 6116521 475378
4304 6116522 476876
4305 6116521 478378
4306 6116521 479878
4307 6116521 481376
4308 6116522 482877
4309 6116521 484378
4310 6116520 485876
4311 6116520 487377
4312 6116521 488878
4313 6116520 490376
4314 6116521 491876
4315 6116521 493378
4316 6116521 494878
4317 6116520 496376
4318 6116521 497878
4319 6116521 499378
4320 6116521 500876
4321 6116521 502378
4322 6116520 503878
4323 6116521 505376
4324 6116521 506877
4325 6116519 508378
4326 6117821 447628
4327 6117824 449128
